,AAPL,NVDA,TSLA,IBM
2021-11-17,153.49,292.61,1089.01,118.06
2021-11-16,151.0,302.03,1054.73,118.46
2021-11-15,150.0,300.25,1013.39,118.87
2021-11-12,149.99,303.9,1033.42,118.96
2021-11-11,147.87,303.9,1063.51,120.27
2021-11-10,147.92,294.59,1067.95,120.22
2021-11-09,150.81,306.57,1023.5,120.85
2021-11-08,150.44,308.04,1162.94,124.54
2021-11-05,151.28,297.52,1222.09,123.61
2021-11-04,150.96,298.01,1229.91,120.85
2021-11-03,151.49,265.98,1213.86,127.13
2021-11-02,150.02,264.01,1172.0,126.18
2021-11-01,148.96,258.27,1208.59,126.28
2021-10-29,149.8,255.67,1114.0,125.1
2021-10-28,152.57,249.41,1077.04,125.84
2021-10-27,148.85,244.51,1037.86,125.17
2021-10-26,149.32,247.17,1018.43,127.13
2021-10-25,148.64,231.66,1024.86,127.64
2021-10-22,148.69,227.26,909.68,127.88
2021-10-21,149.48,226.92,894.0,128.33
2021-10-20,149.26,221.03,865.8,141.9
2021-10-19,148.76,222.9,864.27,141.98
2021-10-18,146.55,222.22,870.11,142.32
2021-10-15,144.84,218.62,843.03,144.61
2021-10-14,143.76,217.46,818.32,143.39
2021-10-13,140.91,209.39,811.08,140.76
2021-10-12,141.51,206.71,805.72,140.47
2021-10-11,142.81,206.95,791.94,142.43
2021-10-08,142.9,208.31,785.49,143.22
2021-10-07,143.29,210.75,793.61,141.81
2021-10-06,142.0,207.0,782.75,142.36
2021-10-05,141.11,204.51,780.59,143.15
2021-10-04,139.14,197.32,781.53,144.11
2021-10-01,142.65,207.42,775.22,143.32
2021-09-30,141.5,207.16,775.48,138.93
2021-09-29,142.83,205.17,781.31,139.18
2021-09-28,141.91,206.99,777.56,137.47
2021-09-27,145.37,216.6,791.36,138.56
2021-09-24,146.92,220.81,774.39,137.49
2021-09-23,146.83,224.82,753.64,136.73
2021-09-22,145.85,219.41,751.94,134.63
2021-09-21,143.43,212.46,739.38,132.97
2021-09-20,142.94,211.13,730.17,134.31
2021-09-17,146.06,219.0,759.49,135.23
2021-09-16,148.79,222.42,756.99,136.43
2021-09-15,149.03,223.41,755.83,137.2
2021-09-14,148.12,222.42,744.49,136.22
2021-09-13,149.55,221.52,743.0,138.15
2021-09-10,148.97,224.78,736.27,137.02
2021-09-09,154.07,221.77,754.86,137.74
2021-09-08,155.11,223.39,753.87,138.67
2021-09-07,156.69,226.62,752.92,138.06
2021-09-03,154.3,228.43,733.57,139.58
2021-09-02,153.65,223.96,732.39,140.01
2021-09-01,152.51,224.41,734.09,139.3
2021-08-31,151.83,223.85,735.72,140.34
2021-08-30,153.12,226.88,730.91,138.97
2021-08-27,148.6,226.36,711.92,139.41
2021-08-26,147.54,220.68,701.16,138.78
2021-08-25,148.36,222.13,711.2,139.86
2021-08-24,149.62,217.93,708.49,139.84
2021-08-23,149.71,219.58,706.3,139.62
2021-08-20,148.19,208.16,680.26,139.11
2021-08-19,146.7,197.98,673.47,138.02
2021-08-18,146.36,190.4,688.99,139.47
2021-08-17,150.19,194.58,665.71,142.42
2021-08-16,151.12,199.5,686.17,143.59
2021-08-13,149.1,201.88,717.17,143.18
2021-08-12,148.89,199.05,722.25,143.07
2021-08-11,145.86,196.99,707.82,142.13
2021-08-10,145.6,199.36,709.99,141.38
2021-08-09,146.09,202.95,713.76,141.25
2021-08-06,146.14,203.66,699.1,144.09
2021-08-05,147.06,206.37,714.63,142.77
2021-08-04,146.95,202.74,710.92,142.76
2021-08-03,147.36,198.15,709.74,144.07
2021-08-02,145.52,197.5,709.67,141.42
2021-07-30,145.86,194.99,687.2,140.96
2021-07-29,145.64,196.62,677.35,141.93
2021-07-28,144.98,195.03,646.98,141.77
2021-07-27,146.77,192.08,644.78,142.75
2021-07-26,148.99,192.94,657.62,142.77
2021-07-23,148.56,195.58,643.38,141.34
2021-07-22,146.8,195.94,649.26,140.71
2021-07-21,145.4,194.1,655.29,141.3
2021-07-20,146.15,186.12,660.5,139.97
2021-07-19,142.45,751.19,646.22,137.92
2021-07-16,146.39,726.44,644.22,138.9
2021-07-15,148.48,758.65,650.6,140.45
2021-07-14,149.15,793.66,653.38,139.82
2021-07-13,145.64,810.0,668.54,140.28
2021-07-12,144.5,820.5,685.7,140.92
2021-07-09,145.11,802.01,656.95,141.52
2021-07-08,143.24,796.11,652.81,140.74
2021-07-07,144.57,814.87,644.65,139.82
2021-07-06,142.02,827.94,659.58,138.78
2021-07-02,139.96,819.48,678.9,140.02
2021-07-01,137.27,808.48,677.92,146.84
2021-06-30,136.96,800.1,679.7,146.59
2021-06-29,136.33,801.07,680.76,145.55
2021-06-28,134.78,799.4,688.72,145.29
2021-06-25,133.11,761.24,671.87,146.84
2021-06-24,133.41,768.22,679.82,145.44
2021-06-23,133.7,762.29,656.57,144.61
2021-06-22,133.98,755.47,623.71,146.36
2021-06-21,132.3,737.09,620.83,146.65
2021-06-18,130.46,745.55,623.31,143.12
2021-06-17,131.79,746.29,616.6,145.6
2021-06-16,130.15,712.41,604.87,147.83
2021-06-15,129.64,711.54,599.36,149.36
2021-06-14,130.48,720.75,617.69,150.03
2021-06-11,127.35,713.01,609.89,151.28
2021-06-10,126.11,697.0,610.12,150.54
2021-06-09,127.13,694.33,598.78,150.67
2021-06-08,126.74,698.28,603.59,149.07
2021-06-07,125.9,704.76,605.13,148.02
2021-06-04,125.89,703.13,599.05,147.42
2021-06-03,123.54,678.79,572.84,145.55
2021-06-02,125.06,671.13,605.12,145.72
2021-06-01,124.28,650.58,623.9,144.19
2021-05-28,124.61,649.78,625.22,143.74
2021-05-27,125.28,619.52,630.85,143.82
2021-05-26,126.85,628.0,619.13,143.38
2021-05-25,126.9,625.91,604.69,143.79
2021-05-24,127.1,624.48,606.44,144.72
2021-05-21,125.43,599.67,580.88,144.74
2021-05-20,127.31,584.5,586.78,143.88
2021-05-19,124.69,562.63,563.46,143.19
2021-05-18,124.85,560.63,577.87,143.91
2021-05-17,126.27,566.62,576.83,145.11
2021-05-14,127.45,569.72,589.74,144.68
2021-05-13,124.97,546.61,571.69,144.17
2021-05-12,122.77,550.34,589.89,141.3
2021-05-11,125.91,572.25,617.2,144.22
2021-05-10,126.85,570.63,629.04,146.17
2021-05-07,130.21,592.49,672.37,145.46
2021-05-06,129.74,580.92,663.54,148.42
2021-05-05,128.1,578.34,670.94,145.22
2021-05-04,127.85,574.05,673.6,145.75
2021-05-03,132.54,593.47,684.9,144.75
2021-04-30,131.46,600.38,709.44,141.88
2021-04-29,133.48,612.99,677.0,144.24
2021-04-28,133.58,611.07,694.4,143.0
2021-04-27,134.39,615.27,704.74,142.01
2021-04-26,134.72,619.12,738.2,141.57
2021-04-23,134.32,610.61,729.4,142.43
2021-04-22,131.94,594.01,719.69,141.28
2021-04-21,133.5,614.42,744.12,143.55
2021-04-20,133.11,606.85,718.99,138.16
2021-04-19,134.84,614.47,714.63,133.12
2021-04-16,134.16,636.5,739.78,133.59
2021-04-15,134.5,645.49,738.85,132.58
2021-04-14,132.03,611.08,732.23,132.63
2021-04-13,134.43,627.18,762.32,131.18
2021-04-12,131.24,608.36,701.98,134.59
2021-04-09,132.995,576.0,677.02,135.73
2021-04-08,130.36,572.68,683.8,135.12
2021-04-07,127.9,565.74,670.97,134.93
2021-04-06,126.21,554.46,691.62,134.22
2021-04-05,125.9,559.5,691.05,135.93
2021-04-01,123.0,552.47,661.75,133.23
2021-03-31,122.15,533.93,667.93,133.26
2021-03-30,119.9,514.87,635.62,134.72
2021-03-29,121.39,517.93,611.29,135.86
2021-03-26,121.21,513.57,618.71,136.38
2021-03-25,120.59,501.41,640.39,133.07
2021-03-24,120.09,505.72,630.27,130.62
2021-03-23,122.54,522.83,662.16,130.46
2021-03-22,123.39,527.45,670.0,130.55
2021-03-19,119.99,513.83,654.87,128.9
2021-03-18,120.53,508.9,653.16,130.06
2021-03-17,124.76,533.65,701.81,129.03
2021-03-16,125.57,531.65,676.88,128.24
2021-03-15,123.99,527.65,707.94,128.58
2021-03-12,121.03,514.24,693.73,127.61
2021-03-11,121.96,519.74,699.6,127.14
2021-03-10,119.98,498.73,668.06,127.87
2021-03-09,121.085,500.81,673.58,124.18
2021-03-08,116.36,463.73,563.0,124.81
2021-03-05,121.42,498.46,597.95,122.83
2021-03-04,120.13,494.81,621.44,120.11
2021-03-03,122.06,512.19,653.2,122.36
2021-03-02,125.12,536.25,686.44,120.33
2021-03-01,127.79,553.67,718.43,120.74
2021-02-26,121.26,548.58,675.5,118.93
2021-02-25,120.99,532.3,682.22,122.47
2021-02-24,125.35,579.96,742.02,123.21
2021-02-23,125.86,565.68,698.84,120.71
2021-02-22,126.0,574.23,714.5,120.86
2021-02-19,129.87,597.06,781.3,118.99
2021-02-18,129.71,593.16,787.38,120.73
2021-02-17,130.84,596.24,798.15,119.97
2021-02-16,133.19,613.21,796.22,120.07
2021-02-12,135.37,598.45,816.12,120.8
2021-02-11,135.13,610.03,811.66,120.91
2021-02-10,135.39,590.57,804.82,122.24
2021-02-09,136.01,570.53,849.46,122.1
2021-02-08,136.91,577.55,863.42,123.61
2021-02-05,136.76,543.64,852.23,121.79
2021-02-04,137.39,546.57,849.99,121.02
2021-02-03,133.94,541.22,854.69,119.12
2021-02-02,134.99,542.27,872.79,119.44
2021-02-01,134.14,529.48,839.81,120.54
2021-01-29,131.96,519.59,793.53,119.11
2021-01-28,137.09,522.04,835.43,120.08
2021-01-27,142.06,516.71,864.16,122.47
2021-01-26,143.16,537.41,883.09,122.49
2021-01-25,142.92,546.13,880.8,118.58
2021-01-22,139.07,548.5,846.64,118.61
2021-01-21,136.87,554.7,844.99,131.65
2021-01-20,132.03,534.63,850.45,130.08
2021-01-19,127.83,521.01,844.55,129.02
2021-01-15,127.14,514.38,826.16,128.39
2021-01-14,128.91,528.01,845.0,128.97
2021-01-13,130.89,541.27,854.41,126.92
2021-01-12,128.8,539.39,849.44,129.21
2021-01-11,128.98,544.86,811.19,128.58
2021-01-08,132.05,531.07,880.02,128.53
2021-01-07,130.92,533.76,816.04,128.99
2021-01-06,126.6,504.58,755.98,129.29
2021-01-05,131.01,536.19,735.11,126.14
2021-01-04,129.41,524.54,729.77,123.94
2020-12-31,132.69,522.2,705.67,125.88
2020-12-30,133.72,525.83,694.78,124.34
2020-12-29,134.87,517.73,665.99,123.8
2020-12-28,136.69,516.0,663.69,124.82
2020-12-24,131.97,519.75,661.77,124.69
2020-12-23,130.96,520.37,645.98,123.9
2020-12-22,131.88,531.13,640.34,123.61
2020-12-21,128.23,533.29,649.86,123.39
2020-12-18,126.655,530.88,695.0,125.85
2020-12-17,128.7,533.65,655.9,125.55
2020-12-16,127.81,529.7,622.77,125.55
2020-12-15,127.88,534.42,633.25,125.93
2020-12-14,121.78,532.35,639.83,123.53
2020-12-11,122.41,520.53,609.99,124.27
2020-12-10,123.24,518.89,627.07,124.96
2020-12-09,121.78,517.23,604.48,126.79
2020-12-08,124.38,534.0,649.88,125.71
2020-12-07,123.75,544.27,641.76,124.7
2020-12-04,122.25,542.33,599.04,127.2
2020-12-03,122.94,535.84,593.38,123.61
2020-12-02,123.08,541.78,568.82,124.62
2020-12-01,122.72,535.6,584.76,123.16
2020-11-30,119.05,536.06,567.6,123.52
2020-11-27,116.59,530.45,585.76,124.35
2020-11-25,116.03,529.39,574.0,124.2
2020-11-24,115.17,518.31,555.38,124.42
2020-11-23,113.85,525.6,521.85,120.09
2020-11-20,117.34,523.51,489.61,116.94
2020-11-19,118.64,537.61,499.27,117.18
2020-11-18,118.03,537.15,486.64,116.77
2020-11-17,119.39,536.89,441.61,117.7
2020-11-16,120.3,540.61,408.09,118.36
2020-11-13,119.26,531.88,408.5,116.85
2020-11-12,119.21,538.27,411.76,114.5
2020-11-11,119.49,536.72,417.13,117.2
2020-11-10,115.97,510.8,410.36,117.91
2020-11-09,116.32,545.23,421.26,115.53
2020-11-06,118.69,582.48,429.95,114.04
2020-11-05,119.03,566.4,438.09,114.77
2020-11-04,114.95,551.77,420.98,111.9
2020-11-03,110.44,520.78,423.9,114.16
2020-11-02,108.77,503.23,400.51,112.91
2020-10-30,108.86,501.36,388.04,111.66
2020-10-29,115.32,520.96,410.83,108.91
2020-10-28,111.2,505.08,406.02,106.65
2020-10-27,116.6,535.87,424.68,110.56
2020-10-26,115.05,525.65,420.28,112.22
2020-10-23,115.04,543.61,420.63,116.0
2020-10-22,115.75,534.44,425.79,115.76
2020-10-21,116.87,540.99,422.64,115.06
2020-10-20,117.51,545.82,421.94,117.37
2020-10-19,115.98,539.91,430.83,125.52
2020-10-16,119.02,552.46,439.67,125.93
2020-10-15,120.71,558.8,448.88,124.89
2020-10-14,121.19,563.81,461.3,125.94
2020-10-13,121.1,569.93,446.65,125.1
2020-10-12,124.4,569.04,442.3,127.21
2020-10-09,116.97,550.51,434.0,127.79
2020-10-08,114.97,553.55,425.92,131.49
2020-10-07,115.08,558.56,425.3,124.07
2020-10-06,113.16,549.46,413.98,121.97
2020-10-05,116.5,545.7,425.68,122.01
2020-10-02,113.02,522.49,415.09,120.57
2020-10-01,116.79,544.58,448.16,121.09
2020-09-30,115.81,541.22,429.01,121.67
2020-09-29,114.09,529.03,419.07,120.94
2020-09-28,114.96,521.4,421.2,121.73
2020-09-25,112.28,514.95,407.34,118.95
2020-09-24,108.22,493.92,387.79,118.09
2020-09-23,107.12,484.95,380.36,118.83
2020-09-22,111.81,505.51,424.23,120.51
2020-09-21,110.08,500.69,449.39,120.25
2020-09-18,106.84,487.57,442.15,122.76
2020-09-17,110.34,498.54,423.43,124.92
2020-09-16,112.13,500.58,441.76,124.22
2020-09-15,115.54,519.64,449.76,122.44
2020-09-14,115.355,514.89,419.62,122.09
2020-09-11,112.0,486.58,372.72,121.46
2020-09-10,113.49,492.47,371.34,120.56
2020-09-09,117.32,508.6,366.28,122.26
2020-09-08,112.82,476.52,330.21,121.21
2020-09-04,120.96,504.9,418.32,122.3
2020-09-03,120.88,520.62,407.0,124.45
2020-09-02,131.4,573.86,447.37,128.18
2020-09-01,134.18,552.84,475.05,123.4
2020-08-31,129.04,534.98,498.32,123.31
2020-08-28,499.23,525.91,2213.4,125.07
2020-08-27,500.04,505.13,2238.75,124.65
2020-08-26,506.09,510.92,2153.17,124.17
2020-08-25,499.3,510.0,2023.34,124.64
2020-08-24,503.43,508.81,2014.2,125.68
2020-08-21,497.48,507.34,2049.98,123.16
2020-08-20,473.1,485.64,2001.83,123.15
2020-08-19,462.83,485.54,1878.53,123.84
2020-08-18,462.25,490.43,1887.09,124.92
2020-08-17,458.43,493.48,1835.64,124.44
2020-08-14,459.63,462.56,1650.71,125.27
2020-08-13,460.04,457.72,1621.0,125.03
2020-08-12,452.04,457.61,1554.76,126.7
2020-08-11,437.5,434.0,1374.39,126.75
2020-08-10,450.91,446.6,1418.57,127.11
2020-08-07,444.45,447.98,1452.71,124.96
2020-08-06,455.61,453.42,1489.58,126.12
2020-08-05,440.25,451.47,1485.02,125.45
2020-08-04,438.66,449.11,1487.0,125.84
2020-08-03,435.75,440.41,1485.0,124.31
2020-07-31,425.04,424.59,1430.76,122.94
2020-07-30,384.76,424.56,1487.49,122.9
2020-07-29,380.16,418.62,1499.11,125.32
2020-07-28,373.01,408.62,1476.49,124.47
2020-07-27,379.24,416.86,1539.6,126.21
2020-07-24,370.46,407.78,1417.0,125.79
2020-07-23,371.38,405.19,1513.07,127.33
2020-07-22,389.09,417.55,1592.33,128.67
2020-07-21,388.0,413.14,1568.36,126.06
2020-07-20,393.43,420.43,1643.0,126.37
2020-07-17,385.31,408.06,1500.84,125.11
2020-07-16,386.09,405.39,1500.64,124.01
2020-07-15,390.9,409.09,1546.01,123.0
2020-07-14,388.23,415.08,1516.8,120.6
2020-07-13,381.91,402.09,1497.06,119.2
2020-07-10,383.68,419.17,1544.65,118.35
2020-07-09,383.01,420.36,1394.28,115.71
2020-07-08,381.37,408.64,1365.88,117.71
2020-07-07,372.69,394.87,1389.86,117.58
2020-07-06,373.85,393.57,1371.58,120.19
2020-07-02,364.11,384.49,1208.66,119.7
2020-07-01,364.11,381.2,1119.63,118.54
2020-06-30,364.8,379.91,1079.81,120.77
2020-06-29,361.78,368.0,1009.35,119.75
2020-06-26,353.63,366.2,959.74,117.19
2020-06-25,364.84,379.6,985.98,119.03
2020-06-24,360.06,369.42,960.85,116.42
2020-06-23,366.53,378.0,1001.78,119.41
2020-06-22,358.87,381.07,994.32,121.07
2020-06-19,349.72,370.45,1000.9,122.47
2020-06-18,351.73,368.72,1003.96,124.16
2020-06-17,351.59,369.44,991.79,124.15
2020-06-16,352.08,362.74,982.13,125.15
2020-06-15,342.99,366.95,990.9,121.65
2020-06-12,338.8,357.3,935.28,121.91
2020-06-11,335.9,351.85,972.84,118.01
2020-06-10,352.84,374.67,1025.05,129.87
2020-06-09,343.99,361.84,940.67,131.87
2020-06-08,333.46,352.2,949.92,135.75
2020-06-05,331.5,356.8,885.66,132.06
2020-06-04,322.32,350.66,864.38,128.89
2020-06-03,325.12,350.78,882.96,129.05
2020-06-02,323.34,353.01,881.56,126.0
2020-06-01,321.85,352.25,898.1,124.89
2020-05-29,317.94,355.02,835.0,124.9
2020-05-28,318.25,339.48,805.81,124.53
2020-05-27,318.11,341.01,820.23,125.54
2020-05-26,316.73,348.71,818.87,121.76
2020-05-22,318.89,361.05,816.88,118.39
2020-05-21,316.85,351.01,827.6,119.12
2020-05-20,319.23,358.8,815.56,121.38
2020-05-19,313.14,352.22,808.01,120.29
2020-05-18,314.96,350.01,813.63,121.56
2020-05-15,307.71,339.63,799.17,116.98
2020-05-14,309.54,321.22,803.33,116.95
2020-05-13,307.65,311.2,790.96,115.73
2020-05-12,311.41,312.1,809.41,120.26
2020-05-11,315.01,322.62,811.29,122.59
2020-05-08,310.13,312.5,819.42,122.99
2020-05-07,303.74,304.87,780.04,121.23
2020-05-06,300.63,297.79,782.58,123.17
2020-05-05,297.56,293.74,768.21,122.58
2020-05-04,293.16,291.29,761.19,121.68
2020-05-01,289.07,282.78,701.32,121.87
2020-04-30,293.8,292.28,781.88,125.56
2020-04-29,287.73,298.46,800.51,128.69
2020-04-28,278.58,291.36,769.12,126.27
2020-04-27,283.17,297.08,798.75,125.92
2020-04-24,282.97,289.59,725.15,124.72
2020-04-23,275.03,284.01,705.63,121.35
2020-04-22,276.1,286.15,732.11,119.31
2020-04-21,268.37,269.51,686.72,116.76
2020-04-20,276.93,287.05,746.36,120.41
2020-04-17,282.8,292.32,753.89,120.12
2020-04-16,286.69,294.7,745.21,115.73
2020-04-15,284.43,280.84,729.83,118.69
2020-04-14,287.05,283.95,709.89,123.91
2020-04-13,273.25,269.85,650.95,121.15
2020-04-09,267.99,262.95,573.0,121.5
2020-04-08,266.07,266.95,548.84,119.29
2020-04-07,259.43,259.03,545.45,114.94
2020-04-06,262.47,268.4,516.24,114.82
2020-04-03,241.41,243.91,480.01,106.34
2020-04-02,244.93,255.47,454.47,110.0
2020-04-01,240.91,243.07,481.56,105.14
2020-03-31,254.29,263.6,524.0,110.93
2020-03-30,254.81,265.59,502.13,112.93
2020-03-27,247.74,252.73,514.36,108.03
2020-03-26,258.44,257.24,528.16,112.89
2020-03-25,245.52,245.62,539.25,105.85
2020-03-24,246.88,249.18,505.0,105.48
2020-03-23,224.37,212.69,434.29,94.77
2020-03-20,229.24,205.75,427.53,95.39
2020-03-19,244.78,212.97,427.64,100.34
2020-03-18,246.67,202.82,361.22,103.55
2020-03-17,252.86,217.27,430.2,106.65
2020-03-16,242.21,196.4,445.07,99.08
2020-03-13,277.97,240.84,546.62,107.95
2020-03-12,248.23,216.31,560.55,102.81
2020-03-11,275.43,246.47,634.23,117.97
2020-03-10,285.34,261.08,645.33,124.77
2020-03-09,266.17,245.44,608.0,117.81
2020-03-06,289.03,266.04,703.48,127.73
2020-03-05,292.92,273.29,724.54,129.55
2020-03-04,302.74,284.51,749.5,134.22
2020-03-03,289.32,265.89,745.51,128.9
2020-03-02,298.81,276.43,743.62,134.3
2020-02-28,273.36,270.07,667.99,130.15
2020-02-27,273.52,252.6,679.0,133.11
2020-02-26,292.65,267.65,778.8,139.75
2020-02-25,288.08,262.05,799.91,141.71
2020-02-24,298.18,273.28,833.79,146.43
2020-02-21,313.05,294.07,901.0,149.84
2020-02-20,320.3,308.7,899.41,151.22
2020-02-19,323.62,314.7,917.42,150.86
2020-02-18,319.0,296.57,858.4,151.1
2020-02-14,324.95,289.79,800.03,150.7
2020-02-13,324.87,270.78,804.0,154.31
2020-02-12,327.2,272.54,767.29,155.31
2020-02-11,319.61,267.89,774.38,153.48
2020-02-10,321.55,262.97,771.28,154.43
2020-02-07,320.03,251.59,748.07,153.41
2020-02-06,325.21,254.25,748.96,156.76
2020-02-05,321.45,250.76,734.7,156.33
2020-02-04,318.85,247.13,887.06,149.11
2020-02-03,308.66,240.33,780.0,146.27
2020-01-31,309.51,236.43,650.57,143.73
2020-01-30,323.87,245.81,640.81,136.77
2020-01-29,324.34,245.54,580.99,137.69
2020-01-28,317.69,247.97,566.9,139.55
2020-01-27,308.95,240.2,558.02,138.62
2020-01-24,318.31,250.48,564.82,140.56
2020-01-23,319.23,252.86,572.2,142.87
2020-01-22,317.7,250.11,569.56,143.89
2020-01-21,316.57,247.94,547.2,139.17
2020-01-17,318.73,249.28,510.5,138.31
2020-01-16,315.24,248.93,513.49,137.98
2020-01-15,311.34,245.57,518.5,136.62
2020-01-14,312.68,247.28,537.92,135.82
2020-01-13,316.96,251.98,524.86,136.6
2020-01-10,310.33,244.32,478.15,136.69
2020-01-09,309.63,243.02,481.34,136.74
2020-01-08,303.19,240.38,492.14,135.31
2020-01-07,298.39,239.93,469.06,134.19
2020-01-06,299.8,237.06,451.54,134.1
2020-01-03,297.43,236.07,443.01,134.34
2020-01-02,300.35,239.91,430.26,135.42
2019-12-31,293.65,235.3,418.33,134.04
2019-12-30,291.52,232.32,414.7,132.81
2019-12-27,289.8,236.87,430.38,135.27
2019-12-26,289.91,239.19,430.94,134.91
2019-12-24,284.27,238.62,425.25,134.98
2019-12-23,284.0,238.82,419.22,135.55
2019-12-20,279.44,239.37,405.59,135.59
2019-12-19,280.02,235.46,404.04,134.56
2019-12-18,279.74,229.51,393.15,134.41
2019-12-17,280.41,228.29,378.99,134.22
2019-12-16,279.86,225.15,381.5,134.13
2019-12-13,275.15,223.99,358.39,134.21
2019-12-12,271.46,224.07,359.68,135.32
2019-12-11,270.77,217.34,352.7,133.76
2019-12-10,268.48,213.98,348.84,133.91
2019-12-09,266.92,212.17,339.53,133.92
2019-12-06,270.71,212.17,335.89,133.22
2019-12-05,265.58,208.74,330.37,131.91
2019-12-04,261.74,209.42,333.03,131.99
2019-12-03,259.45,207.66,336.2,132.12
2019-12-02,264.16,209.25,334.87,132.91
2019-11-29,267.25,216.74,329.94,134.45
2019-11-27,267.84,218.24,331.29,133.77
2019-11-26,264.29,217.0,328.92,135.09
2019-11-25,266.37,221.21,336.34,135.97
2019-11-22,261.78,210.89,333.04,134.34
2019-11-21,262.01,210.18,354.83,133.84
2019-11-20,263.19,211.18,352.22,133.2
2019-11-19,266.29,207.99,359.52,134.52
2019-11-18,267.1,212.28,349.99,134.31
2019-11-15,265.76,204.19,352.17,134.4
2019-11-14,262.64,209.79,349.35,134.0
2019-11-13,264.47,208.57,346.11,134.48
2019-11-12,261.96,209.61,349.93,135.59
2019-11-11,262.2,208.18,345.09,135.47
2019-11-08,260.14,207.78,337.14,137.61
2019-11-07,259.43,208.34,335.54,137.69
2019-11-06,257.24,207.63,326.58,138.78
2019-11-05,257.13,209.61,317.22,137.89
2019-11-04,257.5,210.5,317.47,137.67
2019-11-01,255.82,202.59,313.31,135.53
2019-10-31,248.76,201.02,314.92,133.73
2019-10-30,243.26,203.0,315.01,135.25
2019-10-29,243.29,202.92,316.22,133.82
2019-10-28,249.05,206.79,327.71,135.97
2019-10-25,246.58,204.54,328.13,135.44
2019-10-24,243.58,196.86,299.68,134.07
2019-10-23,243.18,195.09,254.68,134.38
2019-10-22,239.96,195.61,255.58,133.96
2019-10-21,240.51,196.01,253.5,132.58
2019-10-18,236.41,190.49,256.95,134.09
2019-10-17,235.28,194.29,261.97,134.26
2019-10-16,234.37,194.21,259.75,142.11
2019-10-15,235.32,196.37,257.89,143.0
2019-10-14,235.87,186.53,256.96,142.04
2019-10-11,236.21,185.99,247.89,142.76
2019-10-10,230.09,183.03,244.74,141.13
2019-10-09,227.03,180.71,244.53,139.67
2019-10-08,224.4,177.23,240.05,138.38
2019-10-07,227.06,184.33,237.72,141.28
2019-10-04,227.01,181.97,231.43,142.99
2019-10-03,220.82,181.31,233.03,142.02
2019-10-02,218.96,173.04,243.13,141.69
2019-10-01,224.59,174.0,244.69,143.66
2019-09-30,223.97,174.07,240.87,145.42
2019-09-27,218.82,171.76,242.13,143.24
2019-09-26,219.89,177.34,242.56,143.55
2019-09-25,221.03,178.23,228.7,143.16
2019-09-24,217.68,172.53,223.21,141.68
2019-09-23,218.72,174.84,241.23,142.07
2019-09-20,217.73,172.69,240.62,141.88
2019-09-19,220.96,176.94,246.6,142.97
2019-09-18,222.77,179.98,243.49,142.22
2019-09-17,220.7,181.07,244.79,142.2
2019-09-16,219.9,180.21,242.81,142.48
2019-09-13,218.75,181.94,245.2,143.67
2019-09-12,223.09,184.27,245.87,143.62
2019-09-11,223.59,184.33,247.1,143.6
2019-09-10,216.7,183.18,235.54,145.05
2019-09-09,214.17,180.5,231.79,142.6
2019-09-06,213.26,178.65,227.45,140.57
2019-09-05,213.28,179.74,229.58,140.97
2019-09-04,209.19,168.76,220.68,136.32
2019-09-03,205.7,164.17,225.01,134.1
2019-08-30,208.74,167.51,225.61,135.53
2019-08-29,209.01,167.0,221.71,134.88
2019-08-28,205.53,161.22,215.59,132.76
2019-08-27,204.16,161.8,214.08,131.17
2019-08-26,206.49,165.45,215.0,129.99
2019-08-23,202.64,162.44,211.4,129.57
2019-08-22,212.46,171.48,222.15,134.32
2019-08-21,212.64,171.23,220.83,134.25
2019-08-20,210.36,167.87,225.86,133.0
2019-08-19,210.35,170.78,226.83,135.04
2019-08-16,206.5,159.56,219.94,133.76
2019-08-15,201.74,148.77,215.64,131.92
2019-08-14,202.75,150.07,219.62,131.25
2019-08-13,208.97,156.05,235.0,135.79
2019-08-12,200.48,151.45,229.01,134.12
2019-08-09,200.99,154.18,235.01,136.13
2019-08-08,203.43,158.26,238.3,140.1
2019-08-07,199.04,153.89,233.42,139.11
2019-08-06,197.0,152.35,230.75,140.73
2019-08-05,193.34,150.79,228.32,140.76
2019-08-02,204.02,161.19,234.34,147.25
2019-08-01,208.43,164.92,233.85,150.32
2019-07-31,213.04,168.72,241.61,148.24
2019-07-30,208.78,175.45,242.26,149.77
2019-07-29,209.68,174.82,235.77,150.88
2019-07-26,207.74,175.07,228.04,151.36
2019-07-25,207.02,173.38,228.82,150.39
2019-07-24,208.67,178.66,264.88,150.03
2019-07-23,208.84,175.66,260.17,150.38
2019-07-22,207.22,171.32,255.68,149.74
2019-07-19,202.59,168.44,258.18,149.68
2019-07-18,205.66,170.18,253.54,149.63
2019-07-17,203.35,169.71,254.86,143.07
2019-07-16,204.5,167.08,252.38,143.53
2019-07-15,205.21,167.27,253.5,143.32
2019-07-12,203.3,167.61,245.08,142.74
2019-07-11,201.75,166.28,238.6,141.24
2019-07-10,203.23,160.06,238.92,140.47
2019-07-09,201.24,157.31,230.06,139.33
2019-07-08,200.02,157.21,230.34,140.57
2019-07-05,204.23,160.23,233.1,141.38
2019-07-03,204.41,162.75,234.9,141.54
2019-07-02,202.73,162.23,224.55,140.22
2019-07-01,201.55,166.17,227.17,139.88
2019-06-28,197.92,164.23,223.46,137.9
