timestamp,open,high,low,close,volume
29/10/2021,125.43,126.32,124.91,125.1,5916789
28/10/2021,125.17,126.31,124.62,125.84,6503003
27/10/2021,127.44,127.88,125.01,125.17,6973432
26/10/2021,127.52,128.3,126.755,127.13,8520872
25/10/2021,127.53,128.65,126.94,127.64,6374038
22/10/2021,128.05,130.25,126.611,127.88,11582195
21/10/2021,133.51,133.72,128.1,128.33,31466529
20/10/2021,141.68,142.2,140.7,141.9,6189255
19/10/2021,141.08,142.94,140.5201,141.98,4339548
18/10/2021,144,144.94,141.759,142.32,6154055
15/10/2021,143.39,144.85,142.79,144.61,3222778
14/10/2021,141.04,143.92,141.01,143.39,4217305
13/10/2021,140.52,141.41,139.66,140.76,2880747
12/10/2021,142.21,142.3,140.3,140.47,3148559
11/10/2021,143.5,144.08,142.4,142.43,2793298
08/10/2021,141.81,143.65,141.05,143.22,3731279
07/10/2021,142.73,143.395,141.53,141.81,3823803
06/10/2021,142.48,143.37,140.89,142.36,5328433
05/10/2021,144.75,145,142.64,143.15,6976648
04/10/2021,142.74,146,142.3501,144.11,7351128
01/10/2021,141,143.97,140.37,143.32,6604064
30/09/2021,140,140.57,138.5,138.93,5824431
29/09/2021,137.73,139.93,136.44,139.18,3774236
28/09/2021,139.17,139.688,137.21,137.47,4314595
27/09/2021,137.96,139.065,137.48,138.56,3306865
24/09/2021,137.03,138.48,136.75,137.49,2964397
23/09/2021,135.25,137.42,135.03,136.73,3013238
22/09/2021,133.72,135.37,133.47,134.63,3602416
21/09/2021,135.11,135.65,132.94,132.97,4074528
20/09/2021,133.9,135.18,132.78,134.31,4770651
17/09/2021,135.75,135.9199,135.05,135.23,5633480
16/09/2021,137.28,137.95,135.71,136.43,2643975
15/09/2021,136.22,137.8,135.67,137.2,3254122
14/09/2021,138.4,138.57,135.34,136.22,4454291
13/09/2021,138.4,138.99,137.51,138.15,4144345
10/09/2021,138.82,139.3699,137,137.02,3975115
09/09/2021,137.85,138.96,137.555,137.74,3508363
08/09/2021,138.14,139.09,137.6,138.67,2985409
07/09/2021,139.65,139.79,137.7614,138.06,3285363
03/09/2021,139.68,140.47,139.3,139.58,1924215
02/09/2021,139.72,140.05,139.03,140.01,2715659
01/09/2021,139.98,140.0699,139.19,139.3,2474544
31/08/2021,139.54,140.94,138.95,140.34,4235101
30/08/2021,139.5,139.88,138.815,138.97,1995526
27/08/2021,138.71,139.585,138.4,139.41,2459643
26/08/2021,139.97,140.8,138.71,138.78,2498915
25/08/2021,139.92,140.8,139.46,139.86,2012817
24/08/2021,139.78,140.23,139.32,139.84,2365638
23/08/2021,139.62,140.15,138.8,139.62,3039587
20/08/2021,137.74,139.38,137.27,139.11,2657763
19/08/2021,138.69,139.45,137.21,138.02,4160129
18/08/2021,141.67,141.915,139.39,139.47,3510694
17/08/2021,143,143.16,141.09,142.42,3074078
16/08/2021,143.23,143.74,142.23,143.59,2786343
13/08/2021,142.64,143.58,142.44,143.18,1908951
12/08/2021,142.26,143.15,142.0766,143.07,2089418
11/08/2021,141.78,142.7685,141.5,142.13,4259952
10/08/2021,141.21,141.811,140.34,141.38,5299869
09/08/2021,142.2,142.495,140.97,141.25,4904065
06/08/2021,143,144.39,142.89,144.09,3826835
05/08/2021,143.03,143.41,142.22,142.77,2757389
04/08/2021,143.8,144.18,142.47,142.76,2830079
03/08/2021,141.9,144.7,141.65,144.07,4084724
02/08/2021,141.45,143.06,141.03,141.42,2929540
30/07/2021,141.52,141.85,140.79,140.96,3535555
29/07/2021,142.33,142.96,141.6,141.93,2657669
28/07/2021,143.01,143.1,141.64,141.77,2544099
27/07/2021,142.53,143.64,141.6,142.75,3137027
26/07/2021,141.39,143,141.13,142.77,4246266
23/07/2021,140.96,141.7,140.33,141.34,4474157
22/07/2021,141.66,141.81,140.41,140.71,3314153
21/07/2021,139.97,141.39,139.65,141.3,4803977
20/07/2021,143,144.92,138.7,139.97,13611675
19/07/2021,136.45,138.49,136.2089,137.92,8582302
